id,title,manufacturer,price
0,clickart 950 000 premier image pack ( dvd-rom ),broderbund,
1,ca international arcserve lap/desktop oem 30pk,computer associates,
2,noah 's ark activity center ( jewel case ages 3-8 ),victory multimedia,
3,peachtree by sage premium accounting for nonprofits 2007,sage software,599.99
4,singing coach unlimited,carry-a-tune technologies,99.99
5,emc retrospect 7.5 disk to disk windows,dantz,
6,adobe after effects professional 6.5 upgrade from standard to professional,adobe,499.99
7,acad upgrade dragon naturallyspeaking pro solution 9.0 ( a289a-fd7-9 .0 ),nuance academic,399.54
8,mia 's math adventure : just in time,kutoka,19.99
9,disney 's 1st & 2nd grade bundle ( pixar 1st grade secret keys and aladdin reading quest ),disney,14.99
10,paper art : gift wrapping,arc-media-inc .,
11,nfs maestro solo 2006 1u,hummingbird communications,309.56
12,microsoft sql server standard edition 2005 64 bit cd/dvd 5 client,microsoft,1849.0
13,spy sweeper spanish,webroot software,29.95
14,domino designer/developer v5 .0,lotus development,95.0
15,omnioutliner professional 3.0,csdc,69.95
16,compaq comp . secure path v3.0c-netware wrkgrp 50 lic 231327-b22 ),compaq computer,
17,upg sgms 1000 incremental node,sonic-systems-inc .,
18,the human body,topics entertainment,19.99
19,school zone pencil-pal software big phonics ( cd-rom & book ),school-zone-interactive,
20,millie 's math house ages 3-7 ( win/mac ),ibm - ( aap-misc-parts ),
21,world book encyclopedia 2006,topics entertainment,19.99
22,musicalis guitar workshop,global-software-publishing,9.99
23,the printshop 20 professional publisher,broderbund,69.99
24,data protection suite,stomp inc,69.99
25,kids power fun for girls,topics entertainment,19.99
26,adobe premiere pro cs3 upgrade,adobe,299.0
27,i copy dvds 2 professional edition,me-too-software,69.99
28,gen-x media made easy vol . 3,gen-x,49.95
29,family tree maker 11.2 collector 's edition,encore,109.95
30,adobe fireworks cs3 [ mac ],adobe,299.0
31,dinosaurs,topics entertainment,19.99
32,instant home design 3.0 [ lb ],topics entertainment,19.99
33,x-oom internet movies 2,x-oom,
34,form workshop 1200,valusoft,29.99
35,the print shop pro publisher 22 deluxe [ dvd ],encore,99.99
36,stomp inc recover lost data 2005,stomp inc,39.95
37,my first bible stories,dorling-kindersley-multimedia - ( dk ),29.95
38,the big mix ( mac ),aladdin,59.99
39,x-oom movie clone 3 gold,x-oom,
40,the print shop 22 deluxe,encore,49.99
41,imsi turbocad designer v. 11,imsi,39.99
42,lavasoft ad-aware plus edition,tri synergy,29.99
43,clip art and more 250 000 ( jewel case ),imsi design,
44,instant immersion language lab deluxe edition,topics entertainment,
45,elementary school success deluxe 2006,topics entertainment,49.99
46,national geographic presents : redshift planetarium,topics entertainment,29.99
47,math success deluxe 2006,topics entertainment,49.99
48,national geographic presents : forces of nature,topics entertainment,29.99
49,reference success deluxe 2006,topics entertainment,49.95
50,clifford the big red dog thinking adventures,scholastic,9.99
51,mastercook deluxe low carb,valusoft,14.99
52,instant home design ( jewel case ),topics entertainment,9.99
53,boomerang webshop platinum,boomerang,
54,allume boost xp for windows,smith-micro-software,29.99
55,jumpstart learning games phonics ( pc & mac ),knowledge adventure,9.99
56,kids power fun for little ones,topics entertainment,19.99
57,museums of the world,topics entertainment,19.99
58,matchbox cross-town heroes,thq,19.99
59,studyworks ! teaching pro : middle school math & science ( win/mac ),global-software-publishing,29.99
60,trudy 's time and place house ages 3-6,ibm,
61,personal image manager,smith-micro-software,29.99
62,stomp inc drive washer,stomp inc,
63,movies on psp,x-oom,
64,kids power fun for kids,topics entertainment,19.99
65,custom landdesigner 3d design 7.0,sierra on-line,
66,freddi fish 2 : the haunted schoolhouse,humongous entertainment,29.95
67,netgear vpn01l vpn client software,netgear,89.99
68,mom standard ops mgmt lic 2005 english mlp 5 oml,microsoft,
69,eastwest bsendorfer 290 grand piano virtual instrument,eastwest,199.95
70,diskeepeer 2007 admin upgrade sngl lic pack,diskeeper corporation,200.0
71,monarch v9 .0 1u .,datawatch,699.0
72,midway arcade treasures ( jewel case ),encore software,9.99
73,snap ! 10 000 drink recipies ( jewel case ),topics entertainment,4.99
74,mac os x server v10 .4.7 10-client,apple,499.0
75,epson storyteller photo book creator 8 x 10 ( 20 pages ),epson,29.99
76,adobe acrobat capture 3.0 22101258 ),adobe,299.99
77,age of mythology ( mac ),macsoft,19.99
78,emedia intermediate guitar method os x,emedia,59.99
79,ca internet security suite 2007 3 user,computer associates,69.95
80,kaplan sat/act/psat express,topics entertainment,9.99
81,passwords plus 1.0,dataviz,29.99
82,emedia essential bass guitar,emedia,19.95
83,scratches : directors cut,got game,19.99
84,x3 : reunion virtual programming ltd.,csdc,39.95
85,write brothers dramatica pro win/mac,write brothers,269.99
86,emedia bass method win/mac,emedia,59.99
87,microsoft licenses project svr sa govt ( h2200301 ),microsoft licenses,3601.4
88,total training for adobe creative suite 3 : design premium bundle,total training,299.99
89,everquest : titanium,sony-creative-software,19.95
90,emc retrospect 7.5 professional for windows upgrade,dantz,
91,iriscard pro business card scanner,iris,199.99
92,computrace lojack for laptops 4 year subscription,absolute software,119.99
93,microsoft office frontpage 2003 academic version windows ),microsoft,159.98
94,warlords 3 ( jewel case ),red-orb-entertainment,
95,autocad 2007 courseware customizing the interface,autodesk psg,47.95
96,sonicwall internet upgrade ( 50-node ),sonicwall,
97,tournament poker 2005,eagle games,20.99
98,cold zero : no mercy,encore software,19.99
99,listen for ipod magnetic time,sos-aggregation-company,39.99
100,textbridge pro 11 5u license xp,nuance communications inc. .,
101,atari arcade classics ( mac ),macsoft,19.99
102,myinvoices & estimates deluxe,avanquest software,39.95
103,my sim aquarium,viva media,19.99
104,scrabble,destineer,24.99
105,instant immersion spanish ( audio book ),topics entertainment,
106,cisco security server agent for windows and solaris license 100 agents win solaris csa-b100-srvr-k9 ),cisco-systems-enterprise,
107,photoshop elements 5 and premiere elements 3 bundle win minibox ( 29180248 ),adobe,242.62
108,buzby breakin ' all the rules hermie and friends,digital praise,19.99
109,instant immersion french 2.0,topics entertainment,29.99
110,hp digital sending secure license 50 users std,hewlett packard,
111,instant play electric guitar deluxe,topics entertainment,39.99
112,foreign policy & reform ( win/mac ) ( jewel case ),fogware publishing,9.99
