id,Beer_Name,Brew_Factory_Name,Style,ABV
0,TrÃ ¶ egs Nugget Nectar,TrÃ ¶ egs Brewing Company,American Amber / Red Ale,7.50
1,Fat Tire Amber Ale,New Belgium Brewing,American Amber / Red Ale,5.20
2,Levitation Ale,Stone Brewing Co. .,American Amber / Red Ale,4.40
3,Green Flash Hop Head Red Ale,Green Flash Brewing Co. .,American Amber / Red Ale,8.10
4,TrÃ ¶ egs Hopback Amber Ale,TrÃ ¶ egs Brewing Company,American Amber / Red Ale,6.00
5,Flipside Red IPA,Sierra Nevada Brewing Co. .,American Amber / Red Ale,6.20
6,Censored,Lagunitas Brewing Company,American Amber / Red Ale,6.75
7,Red Rocket Ale,Bear Republic Brewing Co. .,American Amber / Red Ale,6.80
8,Great Lakes Nosferatu,Great Lakes Brewing Co. .,American Amber / Red Ale,8.00
9,Lagunitas Imperial Red Ale,Lagunitas Brewing Company,American Amber / Red Ale,7.80
10,Zoe,Maine Beer Company,American Amber / Red Ale,7.20
11,Santa 's Private Reserve Ale,Rogue Ales,American Amber / Red Ale,5.30
12,Lagunitas Lucky 13 Mondo Large Red Ale,Lagunitas Brewing Company,American Amber / Red Ale,8.65
13,Ruedrich 's Red Seal Ale,North Coast Brewing Co. .,American Amber / Red Ale,5.40
14,Boont Amber Ale,Anderson Valley Brewing Company,American Amber / Red Ale,5.80
15,American Amber Ale,Rogue Ales,American Amber / Red Ale,5.30
16,Highland Gaelic Ale,Highland Brewing,American Amber / Red Ale,5.80
17,Tocobaga Red Ale,Cigar City Brewing,American Amber / Red Ale,7.40
18,Calico Copper Amber Ale,Ballast Point Brewing Company,American Amber / Red Ale,5.50
19,Avalanche Ale,Breckenridge Brewery,American Amber / Red Ale,4.40
20,CascaZilla,Ithaca Beer Company,American Amber / Red Ale,7.00
21,Full Sail Amber,Full Sail Brewery & Tasting Room & Pub,American Amber / Red Ale,5.50
22,St. Rogue Red,Rogue Ales,American Amber / Red Ale,5.10
23,Red Tail Ale,Mendocino Brewing Company,American Amber / Red Ale,6.10
24,Prohibition Ale,Speakeasy Ales & Lagers,American Amber / Red Ale,6.10
25,Global Warmer,Sixpoint Brewery,American Amber / Red Ale,7.00
26,Blazing World,Modern Times Beer,American Amber / Red Ale,6.80
27,Red Wheelbarrow,Maine Beer Company,American Amber / Red Ale,7.00
28,Anchor BigLeaf Maple Autumn Red,Anchor Brewing Company,American Amber / Red Ale,6.00
29,Tongue Buckler - Imperial Red Ale,Ballast Point Brewing Company,American Amber / Red Ale,10.00
30,Red Hoptober,New Belgium Brewing,American Amber / Red Ale,6.00
31,Captain Sig 's Northwestern Ale,Rogue Ales,American Amber / Red Ale,6.20
32,Five AM,BrewDog,American Amber / Red Ale,5.00
33,YuleSmith ( Winter ),AleSmith Brewing Company,American Amber / Red Ale,8.50
34,Shark Attack Double Red Ale,Port Brewing,American Amber / Red Ale,9.00
35,Switchback Ale,Switchback Brewing Company,American Amber / Red Ale,5.00
36,Runoff Red IPA,Odell Brewing Company,American Amber / Red Ale,6.50
37,Red Nectar,Humboldt Brewing Co. .,American Amber / Red Ale,5.40
38,Ambergeddon,Ale Asylum,American Amber / Red Ale,6.80
39,Terrapin Oaked Big Hoppy Monster,Terrapin Beer Company,American Amber / Red Ale,10.30
40,AutumnFest,Weyerbacher Brewing Co. .,American Amber / Red Ale,5.40
41,AleSmith My Bloody Valentine,AleSmith Brewing Company,American Amber / Red Ale,6.66
42,Kingpin Double Red Ale,BridgePort Brewing Co. / Brewpub,American Amber / Red Ale,7.50
43,Loakal Red,The Bruery,American Amber / Red Ale,6.90
44,Red-oric - Beer Camp # 65 ( Best Of Beer Camp : Imperial Red Ale ),Sierra Nevada Brewing Co. .,American Amber / Red Ale,8.00
45,Redhook Copperhook,Redhook Ale Brewery,American Amber / Red Ale,5.80
46,Duck-Rabbit Amber Ale,The Duck-Rabbit Craft Brewery,American Amber / Red Ale,5.50
47,Samuel Adams Mighty Oak Ale,Boston Beer Company ( Samuel Adams ),American Amber / Red Ale,5.70
48,Believer,Ninkasi Brewing Company,American Amber / Red Ale,6.90
49,Mermaid 's Red Ale,Coronado Brewing Company,American Amber / Red Ale,5.70
50,Jamaica Red Ale,Mad River Brewing Company,American Amber / Red Ale,6.50
51,Fistmas,Revolution Brewing Company,American Amber / Red Ale,6.10
52,Saint Arnold Amber Ale,Saint Arnold Brewing Company,American Amber / Red Ale,5.50
53,Pursuit Of Hoppiness,Grand Teton Brewing Co. .,American Amber / Red Ale,8.50
54,Mourning Wood,Local Option,American Amber / Red Ale,7.30
55,Blue Moon Valencia Amber Ale,Coors Brewing Company,American Amber / Red Ale,5.90
56,Snowshoe Red Ale,New Glarus Brewing Company,American Amber / Red Ale,5.70
57,Blood Of The Unicorn,Pipeworks Brewing Company,American Amber / Red Ale,6.50
58,AleSmith Evil Dead Red,AleSmith Brewing Company,American Amber / Red Ale,6.66
59,New Holland Sundog Amber Ale,New Holland Brewing Company,American Amber / Red Ale,5.25
60,Cinder Cone Red,Deschutes Brewery,American Amber / Red Ale,5.30
61,Dark Horse Amber Ale,Dark Horse Brewing Company,American Amber / Red Ale,5.50
62,Laughing Skull Amber Ale,Red Brick Brewing Company,American Amber / Red Ale,5.70
63,Drop Top Amber,Widmer Brothers Brewing Company,American Amber / Red Ale,5.00
64,Hoppus Maximus,Thirsty Dog Brewing Company,American Amber / Red Ale,5.90
65,Fascist Pig Ale,Finch 's Beer Co. .,American Amber / Red Ale,8.00
66,Blood Shot - Beer Camp # 95,Sierra Nevada Brewing Co. .,American Amber / Red Ale,8.50
67,Evil Twin Hop Flood,Evil Twin Brewing,American Amber / Red Ale,7.00
68,Key West Sunset Ale,Florida Beer Company,American Amber / Red Ale,4.80
69,Alleycat Amber,Lost Coast Brewery and Cafe,American Amber / Red Ale,5.50
70,African Amber,Mac and Jack 's Brewery,American Amber / Red Ale,5.20
71,Odell Levity Amber Ale,Odell Brewing Company,American Amber / Red Ale,5.00
72,Big Red Coq,Brewery Vivant,American Amber / Red Ale,6.50
73,Blue Point Winter Ale,Blue Point Brewing Company,American Amber / Red Ale,7.00
74,Red Fish,Flying Fish Brewing Company,American Amber / Red Ale,7.00
75,Red Banshee,The Fort Collins Brewery,American Amber / Red Ale,5.30
76,Green Lakes Organic Ale,Deschutes Brewery,American Amber / Red Ale,5.20
77,Blue Moon Rising Moon Spring Ale,Coors Brewing Company,American Amber / Red Ale,5.40
78,Evil Twin,Heretic Brewing Company,American Amber / Red Ale,6.80
79,Buckshot Amber Ale,Natty Greene 's Pub & Brewing Co. .,American Amber / Red Ale,4.90
80,Hemp Hop Rye,O'Fallon Brewery,American Amber / Red Ale,5.50
81,Revelry,Two Brothers Brewing Company,American Amber / Red Ale,9.50
82,Pinstripe Red Ale,Ska Brewing Co. .,American Amber / Red Ale,5.15
83,Newport Storm Hurricane Amber Ale,Coastal Extreme Brewing Co. .,American Amber / Red Ale,5.20
84,Redhook Late Harvest Autumn Ale,Redhook Ale Brewery,American Amber / Red Ale,5.90
85,XS Imperial Red,Rogue Ales,American Amber / Red Ale,9.00
86,The Men 's Room Ale,Elysian Brewing Company,American Amber / Red Ale,5.60
87,Lobster Ale,Belfast Bay Brewing Co. .,American Amber / Red Ale,5.00
88,Mayflower Spring Hop,Mayflower Brewing Company,American Amber / Red Ale,5.30
89,Giddy Up !,New Belgium Brewing,American Amber / Red Ale,6.00
90,Revel Red,Stoudts Brewing Co. .,American Amber / Red Ale,6.20
91,Old Yankee Ale,Cottrell Brewing Co. .,American Amber / Red Ale,5.00
92,Dawn Of The Red I.R.A. Ale,Ninkasi Brewing Company,American Amber / Red Ale,7.00
93,Centennial Red ( Brewmaster Series ),Long Trail Brewing Co. .,American Amber / Red Ale,7.90
94,Ouisconsing Red Ale,Central Waters Brewing Co. .,American Amber / Red Ale,4.80
95,Ashland Amber,Caldera Brewing Company,American Amber / Red Ale,5.40
