id,Beer_Name,Brew_Factory_Name,Style,ABV
0,Great Lakes Nosferatu,Great Lakes Brewing &#40; Ohio &#41;,American Strong Ale,8
1,4 Hands Reprise Centennial Red Ale,4 Hands Brewing Company,Amber Ale,6
2,10 Barrel Backdraft IPA,10 Barrel Brewing &#40; AB InBev &#41;,India Pale Ale &#40; IPA &#41;,6.50
3,Gore Range Fly Fisher Red Ale,Gore Range Brewery,Amber Ale,
4,Naked Dove Nice & Naughty Christmas Ale,Naked Dove Brewing,Stout,5.50
5,10 Barrel Amber Waves of Grain,10 Barrel Brewing &#40; AB InBev &#41;,Amber Ale,5.80
6,Barley Station Bushwacker Brown,Barley Station Brewpub &#40; Shuswap Lake Brewing Co. &#41;,Brown Ale,4.70
7,Blackfoot River MacKenzie River Driftboat Amber,Blackfoot River Brewing,Amber Ale,5.50
8,Brewerie Apparition Amber Ale,The Brewerie at Union Station,Amber Ale,8
9,Battlefield Brew Works Red Circle Ale,Battlefield Brew Works,Irish Ale,5.20
10,3 Sheeps Rebel Kent The First - Red Wine Barrel,3 Sheeps Brewing Company,Belgian Ale,5
11,Esbjerg Mikrobryg Amber Ale,_ lgod Bryghus,Amber Ale,5
12,Red Duck Amber Ale,Purrumbete Brewing,Amber Ale,4.80
13,Big Rig Rideau Red,Big Rig Brewery,Amber Ale,5.20
14,Quimera Amber Ale,Casa Cervecera Quinta Normal,Amber Ale,5.70
15,People_s Aberrant Amber,People_s Brewing Company,Amber Ale,5.50
16,Northwest Chinook Copper Ale,Northwest Brewing Company,Amber Ale,5.30
17,11 Below Oso Bueno Amber Ale,11 Below Brewing Company,Amber Ale,5.30
18,Mt. Shasta Abner Weed Amber Ale,Mt. Shasta Brewing Company,Amber Ale,5.50
19,Burley Oak Assawoman Amber,Burley Oak Brewing Company,Amber Ale,6.90
20,Catawba Valley Indian Head Red,Catawba Valley Brewing Company,Amber Ale,5
21,Grayton Beer 1890 Founder_s Ale,Grayton Beer,Amber Ale,6.10
22,Fulton The Libertine Imperial Red Ale - Heaven Hill Rye Whiskey Barrel Aged,Fulton Beer Company,American Strong Ale,8.50
23,Sherwood Mistress Jades Hemp Ale,Sherwood Brewing Company,American Pale Ale,6
24,Cumberland Red Tape Pale Ale,Cumberland Brewing &#40; BC &#41;,American Pale Ale,5.50
25,Birrificio CitaBiunda Cinnamon Girl,Birrificio CitaBiunda,Premium Bitter/ESB,5.70
26,Blue Elephant Red Devil,Blue Elephant Craft Brew House,Amber Ale,5.10
27,Fairhope I Drink Therefore I Amber,Fairhope Brewing Company,Amber Ale,5.90
28,Revolution Battle of Wil_s,Revolution Brewing Company,Amber Ale,5.30
29,MacTarnahans Amber Ale &#40; Macs Ale &#41;,Portland Brewing Company &#40; Pyramid - North American Breweries &#41;,Amber Ale,5.10
30,Beryl_s Firecatcher,Beryl_s Beer Company,Foreign Stout,7.50
31,Back Street Rita Red Ale,Back Street Brewery,Amber Ale,
32,Exile Chill Clinton Double Hemp Amber Ale,Exile Brewing Company,Spice/Herb/Vegetable,8
33,Backwoods Big Cedar I.R.A,Backwoods Brewing Company,Amber Ale,6.50
34,Durham Red Dragon,County Durham Brewing,Amber Ale,4.70
35,Palmetto Amber Ale,Palmetto Brewing Company,Amber Ale,5.30
36,Constantine Red Rooster Irish Ale,Constantine Brewing Company,Irish Ale,6.30
37,Sawdust City Red Rocket Coffee Spiced Stout,Sawdust City Brewing Company,Spice/Herb/Vegetable,5.20
38,Big Bear Mountain Red Ant Hill Red Ale,Big Bear Mountain Brewery,Amber Ale,5
39,Veterans United Scout Dog 44,Veterans United Craft Brewery,Amber Ale,5.40
40,Black Lotus Red Tao,Black Lotus Brewing Company,Amber Lager/Vienna,5.50
41,Out of Bounds Rusted Butte Red Ale,Out of Bounds Brewing Company,Amber Ale,5.80
42,Persimmon Hollow Paddle Wheeler Red Ale,Persimmon Hollow Brewing Company,Amber Ale,6
43,Chy_e Sierra Amber Ale,Zamecky Pivovar Chy_e,Amber Ale,5.30
44,Rock Art Stowe Mountain Lodge Hourglass Ale,Rock Art Brewery,Amber Ale,6
45,Motorworks Roll Cage Red Ale,Motorworks Brewing,Irish Ale,6.50
46,Back Yard Rainmaker Ale,Back Yard Brewing Company,Smoked,
47,Abbeydale Absolution,Abbeydale,Golden Ale/Blond Ale,5.30
48,Argilla Amber Ale,Argilla Brewing Company,Amber Ale,5
49,Bays Topsail,Bays,Bitter,4
50,Cannonball Creek Victorville Red,Cannonball Creek Brewing Company,Amber Ale,7.10
51,RJ King Wingwalker Winter Brew &#40; -2007 &#41;,City Brewery &#40; Melanie Brewing Co &#41;,Amber Ale,
52,Breakside Mocha Salted Caramel Stout,Breakside Brewery,Sweet Stout,6.80
53,Legends Bistro Plucky Rooster Ale,Legends Bistro,Specialty Grain,5.80
54,23 Brewing Company # 1 Pale Ale &#40; # 1 &#28129; &#33394; &#33406; &#29246; &#41;,23 Brewing Company,American Pale Ale,5.50
