z_cluster,z_minScore,z_maxScore
109260,"",""
112860,"",""
6840,"",""
52530,"",""
76440,"",""
21419,0.6887321627904724,0.7723325998455928
11730,"",""
1213,0.457996870472062,0.9305646414143157
24630,"",""
10350,"",""
93780,"",""
80820,"",""
72570,"",""
60108,0.7833032530013524,0.7833032530013524
960,"",""
28620,"",""
9024,0.9823591545213397,0.9823591545213397
90270,"",""
44730,"",""
16200,"",""
41280,"",""
101220,"",""
11340,"",""
37350,"",""
114990,"",""
9957,0.9806285854185084,0.9938393869090937
13800,"",""
15877,0.5973358988370902,0.5973358988370902
122430,"",""
43920,0.9871202281666592,0.9937491581699864
72510,0.9939632065849492,0.9948058035317234
101100,"",""
16740,"",""
22500,"",""
10590,"",""
14460,"",""
10230,"",""
128460,"",""
54357,0.9733653583599653,0.9733653583599653
60480,"",""
32640,"",""
24990,"",""
85200,"",""
40074,0.9092311159205732,0.917728341581646
32820,"",""
121740,"",""
79410,"",""
10884,0.9952227536000962,0.9952227536000962
74940,"",""
99150,"",""
80730,"",""
92400,"",""
74301,0.6860249112818353,0.9952227536000962
56656,0.8756497065890271,0.9922323843947127
33630,0.9952227536000962,0.9952227536000962
270,"",""
125631,0.9126905238747717,0.9910804216968468
7740,"",""
6437,0.5177116366322005,0.5177116366322005
2970,"",""
37830,"",""
21060,"",""
81300,"",""
17935,0.4379129310891406,0.4379129310891406
67740,"",""
65910,"",""
35190,"",""
106410,"",""
43350,"",""
126510,"",""
49620,"",""
21117,0.9858278412457279,0.9858278412457279
47430,"",""
13466,0.4114612568481277,0.9831727795451115
125160,"",""
59820,"",""
26784,0.95277729477877,0.9557683022795924
76860,"",""
95370,"",""
97140,"",""
79527,0.991273886931284,0.991273886931284
30180,"",""
1576,0.4293502290310918,0.4293502290310918
113070,"",""
26571,0.6387589736186401,0.9692899643900353
34950,"",""
131940,"",""
66600,"",""
48930,"",""
1230,"",""
49980,"",""
110160,"",""
101820,"",""
104820,"",""
67170,"",""
39750,"",""
128490,"",""
108780,"",""
41640,"",""
51390,"",""
91160,0.41201225047930157,0.4251635399814175
54600,0.49903656202654834,0.49903656202654834
4545,0.529271032901253,0.5979413945587133
66540,"",""
98970,"",""
111270,"",""
92760,"",""
77010,"",""
16320,"",""
100890,"",""
83280,"",""
81690,"",""
78420,"",""
125400,"",""
61050,"",""
116220,"",""
79980,"",""
126750,"",""
36000,"",""
90150,"",""
88650,"",""
109770,"",""
76290,"",""
14430,"",""
85500,0.9469637565256165,0.9708955763970124
57000,"",""
75240,"",""
75420,"",""
128310,0.9911349624300113,0.9932934913646657
44160,0.5742685893598652,0.5742685893598652
112680,"",""
9541,0.4066455931316401,0.8557583327753294
13236,0.41097929927355753,0.41097929927355753
20400,"",""
6030,"",""
2670,"",""
85950,0.9647571855500429,0.9948058035317234
8080,0.9752985183029568,0.9895145850096596
98070,"",""
29820,"",""
67230,"",""
109380,"",""
128850,0.718486591946904,0.9911452479348181
55317,0.7104409870819564,0.7104409870819564
36510,"",""
73320,"",""
8401,"",""
51301,0.9916975038550923,0.9945629842745993
92791,"",""
